Schulnummer;Schulname;Angemeldete SuS;Unterrichtete SuS;Unterrichtete Schulen;Freier Träger
01G01;Grundschule am Arkonaplatz;2;2;;Intellego
01G02;Papageno-Grundschule;9;16;;Intellego
01G04;Kastanienbaum-Grundschule;10;19;;tjfbg gGmbH
01G05;Grundschule Neues Tor;14;11;;tjfbg gGmbH
01G07;GutsMuths-Grundschule;1;1;;tjfbg gGmbH
01G08;Grundschule am Brandenburger Tor;16;16;;tjfbg gGmbH
01G10;City-Grundschule;54;;;Studierende machen Schule
01G15;Anne-Frank-Grundschule;14;15;;Frecher Spatz e.V.
01G16;Moabiter-Grundschule;22;24;;tjfbg gGmbH
01G18;Carl-Bolle-Grundschule;40;40;;Studierende machen Schule
01G19;Hansa-Grundschule;4;4;;Frecher Spatz e.V.
01G25;Rudolf-Wissell-Grundschule;28;24;;Studierende machen Schule
01G27;Gesundbrunnen Grundschule;;18;;Kiezküchen Bildungsmarkt
01G28;Brüder-Grimm-Grundschule;54;36;;Studienkreis GmbH
01G29;Wilhelm-Hauff-Grundschule;29;24;;tjfbg gGmbH
01G31;Wedding-Schule;19;19;;tjfbg gGmbH
01G32;Carl-Krämer-Grundschule;39;39;;Frecher Spatz e.V.
01G35;Humboldthain-Grundschule;20;12;;tjfbg gGmbH
01G36;Andersen-Grundschule;15;30;;tjfbg gGmbH
01G38;Gustav-Falke-Grundschule;50;33;;Frecher Spatz e.V.
01G39;Vineta-Grundschule;16;16;;tjfbg gGmbH
01G42;Anna-Lindh-Schule;46;46;;ZGS Bildungs-GmbH (Schülerhilfe)
01G44;Allegro Grundschule;28;;;Studierende machen Schule
01G45;Leo-Lionni-Grundschule;21;16;;tjfbg gGmbH
01G46;Grundschule am Koppenplatz;30;32;;Intellego
01G47;Miriam-Makeba-Grundschule;9;;;Studierende machen Schule
01K01;Willy-Brandt-Schule;26;52;;tjfbg gGmbH
01K02;Ernst-Schering-Schule;37;43;;tjfbg gGmbH
01K03;Ernst-Reuter-Schule;31;16;;Netzwerk Großbeerenstraße
01K04;Heinrich-von-Stephan-Gemeinschaftsschule;56;50;;Frecher Spatz e.V.
01K07;Hemingway-Schule;16;8;;tjfbg gGmbH
01K08;Schule am Schillerpark;18;36;;ProFellow – Verein für Bildungsprojekte e. V.
01K09;Hedwig-Dohm-Oberschule;25;25;;tjfbg gGmbH
